Customer ID,Age,Gender,Category,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases,Purchase Amount (USD)
121,64,Male,Accessories,L,,Summer,4.0,Yes,PayPal,Express,Yes,Yes,7.861789660033053,Bank Transfer,Annually,84
122,19,Male,Clothing,M,,Winter,4.2,Yes,Cash,Standard,Yes,Yes,7.446924434232253,Cash,Fortnightly,72
123,40,Male,Accessories,L,Brown,Spring,4.8,Yes,Credit Card,2-Day Shipping,Yes,Yes,6.692852041592688,Cash,Fortnightly,40
124,57,Male,Clothing,L,,Fall,3.1,Yes,Debit Card,Free Shipping,Yes,Yes,4.487149706031496,Cash,Weekly,89
125,44,Male,Clothing,M,,Spring,3.1,Yes,PayPal,Next Day Air,Yes,Yes,4.39265549042143,PayPal,Annually,86
126,49,Male,Clothing,M,,Winter,3.6,Yes,Cash,Next Day Air,Yes,Yes,7.143134884299686,Venmo,Every 3 Months,54
127,43,Male,Clothing,L,,Spring,3.9,Yes,Bank Transfer,Store Pickup,Yes,Yes,4.201280543056785,Cash,Every 3 Months,36
128,24,Male,Clothing,M,Gray,Winter,4.8,Yes,Venmo,Next Day Air,Yes,Yes,4.5960188176760015,Credit Card,Weekly,89
129,20,Male,Accessories,M,,Spring,4.7,Yes,Venmo,Standard,Yes,Yes,2.395906893024765,Credit Card,Fortnightly,32
130,24,Male,Clothing,XL,,Summer,4.2,Yes,Cash,2-Day Shipping,Yes,Yes,7.1934633972916195,PayPal,Bi-Weekly,67
131,44,Male,Accessories,L,Violet,Fall,3.7,Yes,Credit Card,Next Day Air,Yes,Yes,5.062125411903761,PayPal,Fortnightly,39
132,28,Male,Clothing,L,,Summer,3.9,Yes,PayPal,Standard,Yes,Yes,5.9914943896905735,Credit Card,Weekly,29
133,30,Male,Accessories,M,,Fall,4.7,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,6.475132063385336,PayPal,Weekly,58
134,52,Male,Clothing,M,Violet,Winter,2.5,Yes,Bank Transfer,Next Day Air,Yes,Yes,4.571485838553688,Venmo,Annually,65
135,43,Male,Accessories,L,,Fall,4.9,Yes,Credit Card,Store Pickup,Yes,Yes,6.060655966768728,Cash,Monthly,94
136,43,Male,Footwear,M,,Fall,4.1,Yes,PayPal,Express,Yes,Yes,6.908070767086032,PayPal,Quarterly,81
137,39,Male,Clothing,M,,Winter,3.3,Yes,Credit Card,Free Shipping,Yes,Yes,6.38768689507415,Debit Card,Quarterly,86
138,68,Male,Footwear,M,,Spring,4.7,Yes,Cash,Free Shipping,Yes,Yes,6.0820291630022805,PayPal,Weekly,43
139,68,Male,Clothing,M,,Winter,4.4,Yes,Cash,Store Pickup,Yes,Yes,3.7634977836339756,Bank Transfer,Weekly,29
140,49,Male,Outerwear,M,,Fall,3.8,Yes,Debit Card,Store Pickup,Yes,Yes,8.489070374072789,Venmo,Annually,95
141,63,Male,Clothing,L,,Fall,3.9,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,2.011161169737575,Credit Card,Weekly,28
142,56,Male,Accessories,M,,Fall,4.9,Yes,PayPal,Free Shipping,Yes,Yes,6.307798984986103,PayPal,Weekly,46
143,37,Male,Outerwear,L,,Fall,3.1,Yes,PayPal,Free Shipping,Yes,Yes,5.038988969837001,Credit Card,Fortnightly,58
144,30,Male,Outerwear,M,Beige,Fall,2.7,Yes,Bank Transfer,Store Pickup,Yes,Yes,4.87422543000507,PayPal,Quarterly,48
145,19,Male,Footwear,M,,Fall,3.2,Yes,Credit Card,Express,Yes,Yes,5.44722494721189,Cash,Monthly,43
146,24,Male,Accessories,M,,Fall,4.5,Yes,Venmo,Standard,Yes,Yes,4.885821557596411,Debit Card,Quarterly,95
147,52,Male,Clothing,S,Black,Fall,4.0,Yes,Debit Card,Standard,Yes,Yes,4.994137190028592,Venmo,Fortnightly,30
148,63,Male,Footwear,M,,Summer,3.5,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,3.297114233776326,Bank Transfer,Fortnightly,64
149,37,Male,Accessories,M,,Fall,2.6,Yes,PayPal,Store Pickup,Yes,Yes,8.21392068458779,Debit Card,Annually,90
150,38,Male,Clothing,M,,Summer,,Yes,Venmo,Free Shipping,Yes,Yes,4.655473385290243,PayPal,Monthly,76
151,35,Male,Footwear,L,,Fall,4.9,Yes,Bank Transfer,Standard,Yes,Yes,9.177130556446823,Debit Card,Every 3 Months,96
152,28,Male,Accessories,L,,Fall,4.5,Yes,Debit Card,Next Day Air,Yes,Yes,3.428544416884046,Venmo,Annually,47
153,30,Male,Clothing,S,,Summer,4.3,Yes,PayPal,Express,Yes,Yes,4.517067954396071,Venmo,Annually,85
154,69,Male,Clothing,M,Maroon,Winter,3.2,Yes,Debit Card,Standard,Yes,Yes,3.1240656060645464,Debit Card,Annually,55
155,41,Male,Clothing,M,Charcoal,Fall,3.6,Yes,Debit Card,Next Day Air,Yes,Yes,7.386513320481242,Venmo,Quarterly,98
156,63,Male,Clothing,S,,Spring,4.3,Yes,Cash,Free Shipping,Yes,Yes,7.570515990390012,Bank Transfer,Quarterly,77
157,35,Male,Clothing,M,,Fall,4.0,Yes,Venmo,Standard,Yes,Yes,3.1459586374667197,Debit Card,Annually,26
158,36,Male,Accessories,S,,Fall,3.0,Yes,Debit Card,Next Day Air,Yes,Yes,3.774393655141865,Bank Transfer,Fortnightly,68
159,25,Male,Clothing,XL,,Fall,4.1,Yes,Bank Transfer,Standard,Yes,Yes,4.455244143291106,Bank Transfer,Monthly,73
160,58,Male,Accessories,M,,Fall,3.8,Yes,Debit Card,Store Pickup,Yes,Yes,1.5220997627967452,Bank Transfer,Every 3 Months,27
161,27,Male,Accessories,M,Orange,Summer,4.6,Yes,Bank Transfer,Free Shipping,Yes,Yes,3.234873155782607,Venmo,Monthly,23
162,65,Male,Accessories,M,Olive,Fall,3.0,Yes,Venmo,Express,Yes,Yes,6.6420711085111215,Venmo,Fortnightly,49
163,54,Male,Accessories,M,,Summer,3.0,Yes,Credit Card,Store Pickup,Yes,Yes,7.540918977578091,PayPal,Bi-Weekly,74
164,54,Male,Clothing,M,,Summer,3.4,Yes,PayPal,Standard,Yes,Yes,6.291191322216458,Debit Card,Weekly,67
165,59,Male,Accessories,S,,Spring,2.6,Yes,Debit Card,Free Shipping,Yes,Yes,6.969963129075642,Credit Card,Fortnightly,65
166,42,Male,Accessories,S,,Winter,2.8,Yes,Credit Card,Store Pickup,Yes,Yes,4.638512568913012,Cash,Monthly,60
167,46,Male,Footwear,XL,,Fall,4.0,Yes,Cash,Store Pickup,Yes,Yes,3.201598937126362,Cash,Monthly,31
168,33,Male,Accessories,M,,Fall,4.0,Yes,Venmo,Express,Yes,Yes,1.3881929723142694,Credit Card,Every 3 Months,27
169,34,Male,Footwear,M,,Summer,3.0,Yes,Bank Transfer,Express,Yes,Yes,5.496209964459329,Cash,Fortnightly,80
170,27,Male,Outerwear,S,,Summer,3.3,Yes,Credit Card,Standard,Yes,Yes,5.055140104453795,PayPal,Every 3 Months,30
171,52,Male,Clothing,M,,Fall,2.6,Yes,Venmo,Store Pickup,Yes,Yes,1.6659334858975265,Venmo,Bi-Weekly,25
172,29,Male,Clothing,M,,Summer,3.6,Yes,Debit Card,Store Pickup,Yes,Yes,1.8438866024118497,Credit Card,Weekly,35
173,54,Male,Accessories,M,Violet,Summer,3.9,Yes,Bank Transfer,Next Day Air,Yes,Yes,8.276204072140388,Credit Card,Bi-Weekly,67
174,25,Male,Accessories,M,,Fall,3.4,Yes,PayPal,Standard,Yes,Yes,3.592670210020166,Cash,Annually,46
175,41,Male,Footwear,L,,Winter,3.5,Yes,Venmo,Express,Yes,Yes,5.27378590488037,Venmo,Annually,35
176,53,Male,Outerwear,L,,Fall,2.8,Yes,Debit Card,Next Day Air,Yes,Yes,6.666795765094554,Bank Transfer,Annually,86
177,53,Male,Accessories,L,,Spring,2.7,Yes,Bank Transfer,Next Day Air,Yes,Yes,8.557697551635107,Credit Card,Quarterly,81
178,21,Male,Clothing,L,,Fall,3.7,Yes,Debit Card,Next Day Air,Yes,Yes,2.97699732860974,Bank Transfer,Monthly,42
179,61,Male,Clothing,L,,Fall,4.3,Yes,Debit Card,2-Day Shipping,Yes,Yes,2.982292685840348,PayPal,Quarterly,43
180,64,Male,Footwear,M,,Fall,4.9,Yes,Debit Card,Store Pickup,Yes,Yes,5.083774491066155,Bank Transfer,Fortnightly,31
181,51,Male,Footwear,L,Green,Fall,3.3,Yes,Cash,Store Pickup,Yes,Yes,4.9116168018597595,Debit Card,Fortnightly,81
182,32,Male,Clothing,M,,Summer,4.7,Yes,Venmo,Next Day Air,Yes,Yes,6.121709611290054,Bank Transfer,Weekly,61
183,38,Male,Accessories,XL,,Summer,2.8,Yes,Venmo,Store Pickup,Yes,Yes,8.005204863276385,Debit Card,Annually,96
184,58,Male,Clothing,XL,,Spring,3.6,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,4.365184796530099,Credit Card,Weekly,29
185,32,Male,Footwear,L,,Spring,3.0,Yes,Cash,Express,Yes,Yes,2.4129169747222368,Cash,Fortnightly,33
186,46,Male,Clothing,XL,,Summer,4.5,Yes,Bank Transfer,Store Pickup,Yes,Yes,6.492163572564396,Bank Transfer,Fortnightly,32
187,39,Male,Accessories,S,Lavender,Summer,2.9,Yes,Debit Card,Standard,Yes,Yes,6.115418184643414,Debit Card,Annually,56
188,19,Male,Footwear,S,,Spring,3.3,Yes,Credit Card,Store Pickup,Yes,Yes,5.309492271053555,Bank Transfer,Bi-Weekly,94
189,50,Male,Clothing,M,,Spring,3.1,Yes,Credit Card,Express,Yes,Yes,6.375247936394599,Bank Transfer,Bi-Weekly,53
190,36,Male,Clothing,M,Maroon,Fall,4.4,Yes,Venmo,Next Day Air,Yes,Yes,4.490166371716049,Credit Card,Weekly,82
191,65,Male,Outerwear,XL,Beige,Fall,3.0,Yes,Venmo,Free Shipping,Yes,Yes,7.173403740075591,Venmo,Quarterly,70
192,64,Male,Accessories,M,,Fall,3.9,Yes,Credit Card,Free Shipping,Yes,Yes,6.2158173976161954,Cash,Every 3 Months,76
193,46,Male,Footwear,L,,Summer,2.9,Yes,Venmo,Express,Yes,Yes,3.418867480080781,PayPal,Bi-Weekly,29
194,36,Male,Accessories,S,,Fall,3.0,Yes,PayPal,Standard,Yes,Yes,7.984552534405226,Venmo,Annually,100
195,51,Male,Accessories,M,,Spring,3.1,Yes,Venmo,Express,Yes,Yes,6.701414729178413,Debit Card,Quarterly,94
196,51,Male,Outerwear,M,,Fall,4.3,Yes,Credit Card,Free Shipping,Yes,Yes,2.072770977617076,Credit Card,Monthly,25
197,38,Male,Footwear,M,,Summer,3.9,Yes,Cash,Next Day Air,Yes,Yes,6.45344871017922,Credit Card,Fortnightly,88
